seed,k,cost,config
7,15,0.603675,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|downsample|enc0_attn|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
7,16,0.724296,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
7,17,0.793222,bf16:cond_embed|dec0_attn|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
7,18,0.885123,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
7,19,1,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
8,0,0,
8,1,0.0574384,bf16:dec1_attn
8,2,0.10972,bf16:dec0_attn|dec1_attn
8,3,0.224597,bf16:dec0_attn|dec1_attn|dec1_mlp
8,4,0.2246,bf16:dec0_attn|dec1_attn|dec1_mlp|film
8,5,0.247575,bf16:dec0_attn|dec1_attn|dec1_mlp|encoder_io|film
8,6,0.256191,bf16:dec0_attn|dec1_attn|dec1_mlp|encoder_io|film|upsample
8,7,0.348092,bf16:dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|encoder_io|film|upsample
8,8,0.353836,bf16:dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|downsample|encoder_io|film|upsample
8,9,0.411274,bf16:dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|downsample|enc1_attn|encoder_io|film|upsample
8,10,0.526151,bf16:dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|downsample|enc1_attn|enc1_mlp|encoder_io|film|upsample
8,11,0.646772,bf16:dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|decoder_io|downsample|enc1_attn|enc1_mlp|encoder_io|film|upsample
8,12,0.715698,bf16:dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_io|downsample|enc1_attn|enc1_mlp|encoder_io|film|upsample
8,13,0.717246,bf16:dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_mlp|decoder_heads|decoder_io|downsample|enc1_attn|enc1_mlp|encoder_io|film|upsample
8,14,0.751709,bf16:dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc1_attn|enc1_mlp|encoder_io|film|upsample
8,15,0.786172,bf16:dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|enc1_mlp|encoder_io|film|upsample
8,16,0.786891,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|enc1_mlp|encoder_io|film|upsample
8,17,0.878792,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|enc1_mlp|enc2_mlp|encoder_io|film|upsample
8,18,0.931074,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
8,19,1,bf16:cond_embed|dec0_attn|dec0_mlp|dec1_attn|dec1_mlp|dec2_attn|dec2_mlp|decoder_heads|decoder_io|downsample|enc0_attn|enc0_mlp|enc1_attn|enc1_mlp|enc2_attn|enc2_mlp|encoder_io|film|upsample
9,0,0,
9,1,0.0344631,bf16:dec2_attn
9,2,0.155084,bf16:dec2_attn|decoder_io
9,3,0.212522,bf16:dec2_attn|decoder_io|enc1_attn
9,4,0.269961,bf16:dec1_attn|dec2_attn|decoder_io|enc1_attn
9,5,0.361862,bf16:dec1_attn|dec2_attn|decoder_io|enc1_attn|enc2_mlp
9,6,0.36341,bf16:dec1_attn|dec2_attn|decoder_heads|decoder_io|enc1_attn|enc2_mlp
9,7,0.432336,bf16:dec1_attn|dec2_attn|decoder_heads|decoder_io|enc0_mlp|enc1_attn|enc2_mlp
9,8,0.43808,bf16:dec1_attn|dec2_attn|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|enc2_mlp
9,9,0.529982,bf16:dec0_mlp|dec1_attn|dec2_attn|decoder_heads|decoder_io|downsample|enc0_mlp|enc1_attn|enc2_mlp
