var,tag,lead,k,ratio
Z500,W8A8_floor,120,557,12.81000404
Z500,W8A8_floor,120,558,12.69745776
Z500,W8A8_floor,120,559,12.68839712
Z500,W8A8_floor,120,560,13.22721051
Z500,W8A8_floor,120,561,13.69829148
Z500,W8A8_floor,120,562,12.25555262
Z500,W8A8_floor,120,563,12.37057278
Z500,W8A8_floor,120,564,11.78942899
Z500,W8A8_floor,120,565,13.05190457
Z500,W8A8_floor,120,566,13.21287414
Z500,W8A8_floor,120,567,12.98775554
Z500,W8A8_floor,120,568,13.48785112
Z500,W8A8_floor,120,569,12.52153117
Z500,W8A8_floor,120,570,9.226955354
Z500,W8A8_floor,120,571,12.59213532
Z500,W8A8_floor,120,572,9.507985982
Z500,W8A8_floor,120,573,12.03871861
Z500,W8A8_floor,120,574,13.1897953
Z500,W8A8_floor,120,575,13.02033871
Z500,W8A8_floor,120,576,13.32352067
Z500,W8A8_floor,120,577,13.87232966
Z500,W8A8_floor,120,578,11.50700241
Z500,W8A8_floor,120,579,13.72920721
Z500,W8A8_floor,120,580,14.10134438
Z500,W8A8_floor,120,581,13.93566695
Z500,W8A8_floor,120,582,13.80428808
Z500,W8A8_floor,120,583,14.09656254
Z500,W8A8_floor,120,584,14.1108663
Z500,W8A8_floor,120,585,14.0806311
Z500,W8A8_floor,120,586,13.57313066
Z500,W8A8_floor,120,587,14.00783477
Z500,W8A8_floor,120,588,14.17045517
Z500,W8A8_floor,120,589,14.25448835
Z500,W8A8_floor,120,590,13.61408199
Z500,W8A8_floor,120,591,13.56255054
Z500,W8A8_floor,120,592,13.77465275
Z500,W8A8_floor,120,593,13.97889136
Z500,W8A8_floor,120,594,13.32912804
Z500,W8A8_floor,120,595,12.79931938
Z500,W8A8_floor,120,596,12.48438678
Z500,W8A8_floor,120,597,13.09051582
Z500,W8A8_floor,120,598,12.52547042
Z500,W8A8_floor,120,599,12.23667808
Z500,W8A8_floor,120,600,11.98780139
Z500,W8A8_floor,120,601,12.39227846
Z500,W8A8_floor,120,602,12.66013329
Z500,W8A8_floor,120,603,12.09443729
Z500,W8A8_floor,120,604,11.81550909
Z500,W8A8_floor,120,605,12.07996301
Z500,W8A8_floor,120,606,11.30299737
Z500,W8A8_floor,120,607,11.02618084
Z500,W8A8_floor,120,608,10.85971573
Z500,W8A8_floor,120,609,11.18160725
Z500,W8A8_floor,120,610,11.14217015
Z500,W8A8_floor,120,611,11.39286532
Z500,W8A8_floor,120,612,11.16741889
Z500,W8A8_floor,120,613,11.24506623
Z500,W8A8_floor,120,614,10.53995737
Z500,W8A8_floor,120,615,10.42279216
Z500,W8A8_floor,120,616,10.42302956
Z500,W8A8_floor,120,617,10.39223989
Z500,W8A8_floor,120,618,10.35568345
Z500,W8A8_floor,120,619,9.700180712
Z500,W8A8_floor,120,620,9.779807173
Z500,W8A8_floor,120,621,11.11036759
Z500,W8A8_floor,120,622,9.059057822
Z500,W8A8_floor,120,623,9.209782276
Z500,W8A8_floor,120,624,8.956277591
Z500,W8A8_floor,120,625,8.981803174
Z500,W8A8_floor,120,626,8.584811205
Z500,W8A8_floor,120,627,8.49153754
Z500,W8A8_floor,120,628,8.231762315
Z500,W8A8_floor,120,629,8.112392041
Z500,W8A8_floor,120,630,6.382470873
